"id","parent_id:id","code","name","vat_affected","tax_category","internet_available"
"eco_acti_111","eco_acti_10","111","Extracción de Petróleo Crudo y Gas Natural; Actividades Relacionadas","ND",1,0
"eco_acti_112","eco_acti_10","112","Extracción de Minerales Metalíferos","ND",1,0
"eco_acti_14","eco_acti_10","14","Explotación de Minas y Canteras","ND",1,0
"eco_acti_151","eco_acti_15","151","Producción, Procesamiento y Conservación de Alimentos","ND",1,0
"eco_acti_152","eco_acti_15","152","Elaboración de Productos Lácteos","ND",1,0
"eco_acti_153","eco_acti_15","153","Elab. de Prod. de Molinería, Almidones y Prod. Derivados Del Almidón","ND",1,0
"eco_acti_154","eco_acti_15","154","Elaboración de Otros Productos Alimenticios","ND",1,0
"eco_acti_155","eco_acti_15","155","Elaboración de Bebidas","ND",1,0
"eco_acti_16","eco_acti_15","16","Elaboración de Productos Del Tabaco","ND",1,0
"eco_acti_171","eco_acti_15","171","Hilandería, Tejedura y Acabado de Productos Textiles","ND",1,0
"eco_acti_172","eco_acti_15","172","Fabricación de Otros Productos Textiles","ND",1,0
"eco_acti_173","eco_acti_15","173","Fabricación de Tejidos y Artículos de Punto y Ganchillo","ND",1,0
"eco_acti_181","eco_acti_15","181","Fabricación de Prendas de Vestir; Excepto Prendas de Piel","ND",1,0
"eco_acti_182","eco_acti_15","182","Procesamiento y Fabricación de Artículos de Piel y Cuero","ND",1,0
"eco_acti_192","eco_acti_15","192","Fabricación de Calzado","ND",1,0
"eco_acti_201","eco_acti_15","201","Aserrado y Acepilladura de Maderas","ND",1,0
"eco_acti_202","eco_acti_15","202","Fab. de Productos de Madera y Corcho,  Paja y de Materiales Trenzables","ND",1,0
"eco_acti_210","eco_acti_15","210","Fabricación de Papel y Productos Del Papel","ND",1,0
"eco_acti_221","eco_acti_15","221","Actividades de Edición","ND",1,0
"eco_acti_222","eco_acti_15","222","Actividades de Impresión y de Servicios Conexos","ND",1,0
"eco_acti_23","eco_acti_15","23","Fabricación de Productos de Hornos Coque y de Refinación de Petróleo","ND",1,0
"eco_acti_233","eco_acti_15","233","Elaboración de Combustible Nuclear","ND",1,0
"eco_acti_241","eco_acti_15","241","Fabricación de Sustancias Químicas Básicas","ND",1,0
"eco_acti_242","eco_acti_15","242","Fabricación de Otros Productos Químicos","ND",1,0
"eco_acti_243","eco_acti_15","243","Fabricación de Fibras Manufacturadas","ND",1,0
"eco_acti_251","eco_acti_15","251","Fabricación de Productos de Caucho","ND",1,0
"eco_acti_252","eco_acti_15","252","Fabricación de Productos de Plástico","ND",1,0
"eco_acti_261","eco_acti_15","261","Fabricación de Vidrios y Productos de Vidrio","ND",1,0
"eco_acti_269","eco_acti_15","269","Fabricación de Productos Minerales No Metálicos N.C.P.","ND",1,0
"eco_acti_271","eco_acti_27","271","Industrias Básicas de Hierro y Acero","ND",1,0
"eco_acti_272","eco_acti_27","272","Fab. de Productos Primarios de Metales Preciosos y Metales No Ferrosos","ND",1,0
"eco_acti_273","eco_acti_27","273","Fundición de Metales","ND",1,0
"eco_acti_281","eco_acti_27","281","Fab. de Prod. Metálicos Para Uso Estructural","ND",1,0
"eco_acti_289","eco_acti_27","289","Fab. de Otros Prod. Elaborados de Metal; Act. de Trabajo de Metales","ND",1,0
"eco_acti_291","eco_acti_27","291","Fabricación de Maquinaria de Uso General","ND",1,0
"eco_acti_292","eco_acti_27","292","Fabricación de Maquinaria de Uso Especial","ND",1,0
"eco_acti_293","eco_acti_27","293","Fabricación de Aparatos de Uso Doméstico N.C.P.","ND",1,0
"eco_acti_300","eco_acti_27","300","Fabricación de Maquinaria de Oficina, Contabilidad E Informática","ND",1,0
"eco_acti_311","eco_acti_27","311","Fab. y Reparación de Motores, Generadores y Transformadores Eléctricos","ND",1,0
"eco_acti_312","eco_acti_27","312","Fabricación de Aparatos de Distribución y Control; Sus Reparaciones","ND",1,0
"eco_acti_313","eco_acti_27","313","Fabricación de Hilos y Cables Aislados","ND",1,0
"eco_acti_314","eco_acti_27","314","Fabricación de Acumuladores de Pilas y Baterías Primarias","ND",1,0
"eco_acti_315","eco_acti_27","315","Fabricación y Reparación de Lámparas y Equipo de Iluminación","ND",1,0
"eco_acti_319","eco_acti_27","319","Fabricación y Reparación de Otros Tipos de Equipo Eléctrico N.C.P.","ND",1,0
"eco_acti_321","eco_acti_27","321","Fabricación de Componentes Electrónicos; Sus Reparaciones","ND",1,0
"eco_acti_322","eco_acti_27","322","Fab. y Reparación de Transmisores de Radio, Televisión, Telefonía","ND",1,0
"eco_acti_323","eco_acti_27","323","Fab. de Receptores de Radio, Televisión, Aparatos de Audio/Vídeo","ND",1,0
"eco_acti_331","eco_acti_27","331","Fab. de Aparatos E Instrumentos Médicos y Para Realizar Mediciones","ND",1,0
"eco_acti_332","eco_acti_27","332","Fab. y Reparación de Instrumentos de Óptica y Equipo Fotográfico","ND",1,0
"eco_acti_333","eco_acti_27","333","Fabricación de Relojes","ND",1,0
"eco_acti_34","eco_acti_27","34","Fabricación de Vehículos Automotores","ND",1,0
"eco_acti_351","eco_acti_27","351","Construcción y Reparación de Buques y Otras Embarcaciones","ND",1,0
"eco_acti_352","eco_acti_27","352","Fab. de Locomotoras y Material Rodante Para Ferrocarriles y Tranvías","ND",1,0
"eco_acti_353","eco_acti_27","353","Fabricación de Aeronaves y Naves Espaciales; Sus Reparaciones","ND",1,0
"eco_acti_359","eco_acti_27","359","Fabricación de Otros Tipos de Equipo de Transporte N.C.P.","ND",1,0
"eco_acti_361","eco_acti_27","361","Fabricación de Muebles","ND",1,0
"eco_acti_369","eco_acti_27","369","Industrias Manufactureras N.C.P.","ND",1,0
"eco_acti_37","eco_acti_27","37","Reciclamiento de Desperdicios y Desechos","ND",1,0
"eco_acti_401","eco_acti_40","401","Generación, Captación y Distribución de Energía Eléctrica","ND",1,0
"eco_acti_402","eco_acti_40","402","Fabricación de Gas; Distribución de Combustibles Gaseosos Por Tuberías","ND",1,0
"eco_acti_403","eco_acti_40","403","Suministro de Vapor y Agua Caliente","ND",1,0
"eco_acti_410","eco_acti_40","410","Captación, Depuración y Distribución de Agua","ND",1,0
"eco_acti_450","eco_acti_45","450","Construcción","ND",1,0
"eco_acti_501","eco_acti_50","501","Venta de Vehículos Automotores","ND",1,0
"eco_acti_502","eco_acti_50","502","Mantenimiento y Reparación de Vehículos Automotores","ND",1,0
"eco_acti_503","eco_acti_50","503","Venta de Partes, Piezas y Accesorios de Vehículos Automotores","ND",1,0
"eco_acti_504","eco_acti_50","504","Venta, Mantenimiento y Reparación de Motocicletas y Sus Partes","ND",1,0
"eco_acti_505","eco_acti_50","505","Venta Al Por Menor de Combustible Para Automotores","ND",1,0
"eco_acti_511","eco_acti_50","511","Venta Al Por Mayor A Cambio de Una Retribución O Por Contrata","ND",1,0
"eco_acti_512","eco_acti_50","512","Venta Al Por Mayor de Materias Primas Agropecuarias","ND",1,0
"eco_acti_513","eco_acti_50","513","Venta Al Por Mayor de Enseres Domésticos","ND",1,0
"eco_acti_514","eco_acti_50","514","Venta Al Por Mayor de Productos Intermedios, Desechos No Agropecuarios","ND",1,0
"eco_acti_515","eco_acti_50","515","Venta Al Por Mayor de Maquinaria, Equipo y Materiales Conexos","ND",1,0
"eco_acti_519","eco_acti_50","519","Venta Al Por Mayor de Otros Productos","ND",1,0
"eco_acti_521","eco_acti_50","521","Comercio Al Por Menor No Especializado En Almacenes","ND",1,0
"eco_acti_522","eco_acti_50","522","Venta Por Menor de Alimentos, Bebidas, Tabacos En Almc. Especializados","ND",1,0
"eco_acti_523","eco_acti_50","523","Comercio Al Por Menor de Otros Prod. Nuevos En Almc. Especializados","ND",1,0
"eco_acti_524","eco_acti_50","524","Venta Al Por Menor En Almacenes de Artículos Usados","ND",1,0
"eco_acti_525","eco_acti_50","525","Comercio Al Por Menor No Realizado En Almacenes","ND",1,0
"eco_acti_526","eco_acti_50","526","Reparación de Efectos Personales y Enseres Domésticos","ND",1,0
"eco_acti_551","eco_acti_55","551","Hoteles; Campamentos y Otros Tipos de Hospedaje Temporal","ND",1,0
"eco_acti_552","eco_acti_55","552","Restaurantes, Bares y Cantinas","ND",1,0
"eco_acti_601","eco_acti_60","601","Transporte Por Ferrocarriles","ND",1,0
"eco_acti_602","eco_acti_60","602","Otros Tipos de Transporte Por Vía Terrestre","ND",1,0
"eco_acti_603","eco_acti_60","603","Transporte Por Tuberías","ND",1,0
"eco_acti_611","eco_acti_60","611","Transporte Marítimo y de Cabotaje","ND",1,0
"eco_acti_612","eco_acti_60","612","Transporte Por Vías de Navegación Interiores","ND",1,0
"eco_acti_62","eco_acti_60","62","Transporte Por Vía Aérea","ND",1,0
"eco_acti_63","eco_acti_60","63","Act. de Transporte Complementarias y Auxiliares; Agencias de Viaje","ND",1,0
"eco_acti_641","eco_acti_60","641","Actividades Postales y de Correo","ND",1,0
"eco_acti_642","eco_acti_60","642","Telecomunicaciones","ND",1,0
"eco_acti_651","eco_acti_65","651","Intermediación Monetaria","ND",1,0
"eco_acti_659","eco_acti_65","659","Otros Tipos de Intermediación Financiera","ND",1,0
"eco_acti_660","eco_acti_65","660","Financiación Planes de Seg. y de Pensiones, Excepto Afiliación Oblig.","ND",1,0
"eco_acti_671","eco_acti_65","671","Act. Aux. de La Intermediación Financiera, Excepto Planes de Seguros","ND",1,0
"eco_acti_672","eco_acti_65","672","Act. Auxiliares de Financiación de Planes de Seguros y de Pensiones","ND",1,0
"eco_acti_701","eco_acti_70","701","Actividades Inmobiliarias Realizadas Con Bienes Propios O Arrendados","ND",1,0
"eco_acti_702","eco_acti_70","702","Act. Inmobiliarias Realizadas A Cambio de Retribución O Por Contrata","ND",1,0
"eco_acti_711","eco_acti_70","711","Alquiler Equipo de Transporte","ND",1,0
"eco_acti_712","eco_acti_70","712","Alquiler de Otros Tipos de Maquinaria y Equipo","ND",1,0
"eco_acti_713","eco_acti_70","713","Alquiler de Efectos Personales y Enseres Domésticos N.C.P.","ND",1,0
"eco_acti_72","eco_acti_70","72","Servicios Informáticos","ND",1,0
"eco_acti_725","eco_acti_70","eco_acti_725","Mantenimiento y Reparación de Maquinaria de Oficina","ND",1,0
"eco_acti_73","eco_acti_70","eco_acti_73","Actividades de Investigaciones y Desarrollo Experimental","ND",1,0
"eco_acti_741","eco_acti_70","741","Actividades Jurídicas y de Asesoramiento Empresarial En General","ND",1,0
"eco_acti_742","eco_acti_70","742","Actividades de Arquitectura E Ingeniería y Otras Actividades Técnicas","ND",1,0
"eco_acti_743","eco_acti_70","743","Publicidad","ND",1,0
"eco_acti_749","eco_acti_70","749","Act. Empresariales y de Profesionales Prestadas A Empresas N.C.P.","ND",1,0
"eco_acti_751","eco_acti_75","751","Gobierno Central y Administración Pública","ND",1,0
"eco_acti_753","eco_acti_75","753","Actividades de Planes de Seguridad Social de Afiliación Obligatoria","ND",1,0
"eco_acti_800","eco_acti_80","800","Enseñanza Preescolar, Primaria, Secundaria y Superior ; Profesores","ND",1,0
"eco_acti_851","eco_acti_85","851","Actividades Relacionadas Con La Salud Humana","ND",1,0
"eco_acti_852","eco_acti_85","852","Actividades Veterinarias","ND",1,0
"eco_acti_853","eco_acti_85","853","Actividades de Servicios Sociales","ND",1,0
"eco_acti_900","eco_acti_90","900","Eliminación de Desperdicios y Aguas Residuales, Saneamiento","ND",1,0
"eco_acti_911","eco_acti_90","911","Act. de Organizaciones Empresariales, Profesionales y de Empleadores","ND",1,0
"eco_acti_912","eco_acti_90","912","Actividades de Sindicatos y de Otras Organizaciones","ND",1,0
"eco_acti_921","eco_acti_90","921","Act. de Cinematografía, Radio y Tv y Otras Act. de Entretenimiento","ND",1,0
"eco_acti_922","eco_acti_90","922","Actividades de Agencias de Noticias y Servicios Periodísticos","ND",1,0
"eco_acti_923","eco_acti_90","923","Actividades de Bibliotecas, Archivos y Museos y Otras Act. Culturales","ND",1,0
"eco_acti_924","eco_acti_90","924","Actividades Deportivas y Otras Actividades de Esparcimiento","ND",1,0
"eco_acti_930","eco_acti_90","930","Otras Actividades de Servicios","ND",1,0
"eco_acti_950","eco_acti_95","950","Consejo de Administración de Edificios y Condominios","ND",1,0
"eco_acti_990","eco_acti_99","990","Organizaciones y Órganos Extraterritoriales","ND",1,0
"eco_acti_11111","eco_acti_011",11111,"Cultivo de Trigo","SI",1,1
"eco_acti_11112","eco_acti_011",11112,"Cultivo de Maiz","SI",1,1
"eco_acti_11113","eco_acti_011",11113,"Cultivo de Avena","SI",1,1
"eco_acti_11114","eco_acti_011",11114,"Cultivo de Arroz","SI",1,1
"eco_acti_11115","eco_acti_011",11115,"Cultivo de Cebada","SI",1,1
"eco_acti_11119","eco_acti_011",11119,"Cultivo de Otros Cereales","SI",1,1
"eco_acti_11121","eco_acti_011",11121,"Cultivo Forrajeros En Praderas Naturales","SI",1,1
"eco_acti_11122","eco_acti_011",11122,"Cultivo Forrajeros En Praderas Mejoradas O Sembradas","SI",1,1
"eco_acti_11131","eco_acti_011",11131,"Cultivo de Porotos O Frijol","SI",1,1
"eco_acti_11132","eco_acti_011",11132,"Cultivo, Producción de Lupino","SI",1,1
"eco_acti_11139","eco_acti_011",11139,"Cultivo de Otras Legumbres","SI",1,1
"eco_acti_11141","eco_acti_011",11141,"Cultivo de Papas","SI",1,1
"eco_acti_11142","eco_acti_011",11142,"Cultivo de Camotes O Batatas","SI",1,1
"eco_acti_11149","eco_acti_011",11149,"Cultivo de Otros Tubérculos N.C.P","SI",1,1
"eco_acti_11151","eco_acti_011",11151,"Cultivo de Raps","SI",1,1
"eco_acti_11152","eco_acti_011",11152,"Cultivo de Maravilla","SI",1,1
"eco_acti_11159","eco_acti_011",11159,"Cultivo de Otras Oleaginosas N.C.P.","SI",1,1
"eco_acti_11160","eco_acti_011",11160,"Producción de Semillas de Cereales, Legumbres, Oleaginosas","SI",1,1
"eco_acti_11191","eco_acti_011",11191,"Cultivo de Remolacha","SI",1,1
"eco_acti_11192","eco_acti_011",11192,"Cultivo de Tabaco","SI",1,1
"eco_acti_11193","eco_acti_011",11193,"Cultivo de Fibras Vegetales Industriales","SI",1,1
"eco_acti_11194","eco_acti_011",11194,"Cultivo de Plantas Aromáticas O Medicinales","SI",1,1
"eco_acti_11199","eco_acti_011",11199,"Otros Cultivos N.C.P.","SI",1,1
"eco_acti_11211","eco_acti_011",11211,"Cultivo Tradicional de Hortalizas Frescas","SI",1,1
"eco_acti_11212","eco_acti_011",11212,"Cultivo de Hortalizas En Invernaderos y Cultivos Hidroponicos","SI",1,1
"eco_acti_11213","eco_acti_011",11213,"Cultivo Orgánico de Hortalizas","SI",1,1
"eco_acti_11220","eco_acti_011",11220,"Cultivo de Plantas Vivas y Productos de La Floricultura","SI",1,1
"eco_acti_11230","eco_acti_011",11230,"Producción de Semillas de Flores, Prados, Frutas y Hortalizas","SI",1,1
"eco_acti_11240","eco_acti_011",11240,"Producción En Viveros; Excepto Especies Forestales","SI",1,1
"eco_acti_11250","eco_acti_011",11250,"Cultivo y Recolección de Hongos, Trufas y Savia; Producción de Jarabe de Arce de Azúcar y Azúcar","SI",1,1
"eco_acti_11311","eco_acti_011",11311,"Cultivo de Uva Destinada A Producción de Pisco y Aguardiente","SI",1,1
"eco_acti_11312","eco_acti_011",11312,"Cultivo de Uva Destinada A Producción de Vino","SI",1,1
"eco_acti_11313","eco_acti_011",11313,"Cultivo de Uva de Mesa","SI",1,1
"eco_acti_11321","eco_acti_011",11321,"Cultivo de Frutales En Árboles O Arbustos Con Ciclo de Vida Mayor A Una Temporada","SI",1,1
"eco_acti_11322","eco_acti_011",11322,"Cultivo de Frutales Menores En Plantas Con Ciclo de Vida de Una Temporada","SI",1,1
"eco_acti_11330","eco_acti_011",11330,"Cultivo de Plantas Cuyas Hojas O Frutas Se Utilizan Para Preparar Bebidas","SI",1,1
"eco_acti_11340","eco_acti_011",11340,"Cultivo de Especias","SI",1,1
"eco_acti_12111","eco_acti_012",12111,"Cría de Ganado Bovino Para La Producción Lechera","SI",1,1
"eco_acti_12112","eco_acti_012",12112,"Cría de Ganado Para Producción de Carne, O Como Ganado Reproductor","SI",1,1
"eco_acti_12120","eco_acti_012",12120,"Cría de Ganado Ovino Y/O Explotación Lanera","SI",1,1
"eco_acti_12130","eco_acti_012",12130,"Cría de Equinos (Caballares, Mulares)","SI",1,1
"eco_acti_12210","eco_acti_012",12210,"Cría de Porcinos","SI",1,1
"eco_acti_12221","eco_acti_012",12221,"Cría de Aves de Corral Para La Producción de Carne","SI",1,1
"eco_acti_12222","eco_acti_012",12222,"Cría de Aves de Corral Para La Producción de Huevos","SI",1,1
"eco_acti_12223","eco_acti_012",12223,"Cría de Aves Finas O No Tradicionales","SI",1,1
"eco_acti_12230","eco_acti_012",12230,"Cría de Animales Domésticos; Perros y Gatos","SI",1,1
"eco_acti_12240","eco_acti_012",12240,"Apicultura","SI",1,1
"eco_acti_12250","eco_acti_012",12250,"Ranicultura, Helicicultura U Otra Actividad Con Animales Menores O Insectos","SI",1,1
"eco_acti_12290","eco_acti_012",12290,"Otras Explotaciones de Animales No Clasificados En Otra Parte, Incluido Sus Subproductos","SI",1,1
"eco_acti_13000","eco_acti_013",13000,"Explotación Mixta","SI",1,1
"eco_acti_14011","eco_acti_014",14011,"Servicio de Corte y Enfardado de Forraje","SI",1,1
"eco_acti_14012","eco_acti_014",14012,"Servicio de Recolección, Empacado, Trilla, Descascaramiento y Desgrane; y Similares","SI",1,1
"eco_acti_14013","eco_acti_014",14013,"Servicio de Roturación Siembra y Similares","SI",1,1
"eco_acti_14014","eco_acti_014",14014,"Destrucción de Plagas; Pulverizaciones, Fumigaciones U Otras","SI",1,1
"eco_acti_14015","eco_acti_014",14015,"Cosecha, Poda, Amarre y Labores de Adecuación de La Planta U Otras","SI",1,1
"eco_acti_14019","eco_acti_014",14019,"Otros Servicios Agrícolas N.C.P.","SI",1,1
"eco_acti_14021","eco_acti_014",14021,"Servicios de Adiestramiento, Guardería y Cuidados de Mascotas; Excepto Actividades Veterinarias","SI",1,1
"eco_acti_14022","eco_acti_014",14022,"Servicios Ganaderos, Excepto Actividades Veterinarias","SI",1,1
"eco_acti_15010","eco_acti_015",15010,"Caza de Mamíferos Marinos; Excepto Ballenas","SI",1,1
"eco_acti_15090","eco_acti_015",15090,"Caza Ordinaria y Mediante Trampas, y Actividades de Servicios Conexas","SI",1,1
"eco_acti_20010","eco_acti_020",20010,"Explotación de Bosques","SI",1,1
"eco_acti_20020","eco_acti_020",20020,"Recolección de Productos Forestales Silvestres","SI",1,1
"eco_acti_20030","eco_acti_020",20030,"Explotación de Viveros de Especies Forestales","SI",1,1
"eco_acti_20041","eco_acti_020",20041,"Servicios de Forestación","SI",1,1
"eco_acti_20042","eco_acti_020",20042,"Servicios de Corta de Madera","SI",1,1
"eco_acti_20043","eco_acti_020",20043,"Servicios de Control de Incendios Forestales","SI",1,1
"eco_acti_20049","eco_acti_020",20049,"Otras Actividades de Servicios Conexas A La Silvicultura N.C.P.","SI",1,1
"eco_acti_51010","eco_acti_051",51010,"Cultivo de Especies Acuáticas En Cuerpo de Agua Dulce","SI",1,1
"eco_acti_51020","eco_acti_051",51020,"Reproducción y Crianzas de Peces Marinos","SI",1,1
"eco_acti_51030","eco_acti_051",51030,"Cultivo, Reproducción y Crecimientos de Vegetales Acuáticos","SI",1,1
"eco_acti_51040","eco_acti_051",51040,"Reproducción y Cría de Moluscos y Crustaceos.","SI",1,1
"eco_acti_51090","eco_acti_051",51090,"Servicios Relacionados Con La Acuicultura, No Incluye Servicios Profesionales y de Extracción","SI",1,1
"eco_acti_52010","eco_acti_052",52010,"Pesca Industrial","SI",1,1
"eco_acti_52020","eco_acti_052",52020,"Actividad Pesquera de Barcos Factorías","SI",1,1
"eco_acti_52030","eco_acti_052",52030,"Pesca Artesanal. Extracción de Recursos Acuáticos En General; Incluye Ballenas","SI",1,1
"eco_acti_52040","eco_acti_052",52040,"Recolección de Productos Marinos, Como Perlas Naturales, Esponjas, Corales y Algas.","SI",1,1
"eco_acti_52050","eco_acti_052",52050,"Servicios Relacionados Con La Pesca, No Incluye Servicios Profesionales","SI",1,1
"eco_acti_100000","eco_acti_100",100000,"Extracción, Aglomeración de Carbón de Piedra, Lignito y Turba","SI",1,1
"eco_acti_111000","eco_acti_111",111000,"Extracción de Petróleo Crudo y Gas Natural","SI",1,1
"eco_acti_112000","eco_acti_111",112000,"Actividades de Servicios Relacionadas Con La Extracción de Petróleo y Gas","SI",1,1
"eco_acti_120000","eco_acti_112",120000,"Extracción de Minerales de Uranio y Torio","SI",1,1
"eco_acti_131000","eco_acti_112",131000,"Extracción de Minerales de Hierro","SI",1,1
"eco_acti_132010","eco_acti_112",132010,"Extracción de Oro y Plata","SI",1,1
"eco_acti_132020","eco_acti_112",132020,"Extracción de Zinc y Plomo","SI",1,1
"eco_acti_132030","eco_acti_112",132030,"Extracción de Manganeso","SI",1,1
"eco_acti_132090","eco_acti_112",132090,"Extracción de Otros Minerales Metalíferos N.C.P.","SI",1,1
"eco_acti_133000","eco_acti_112",133000,"Extracción de Cobre","SI",1,1
"eco_acti_141000","eco_acti_14",141000,"Extracción de Piedra, Arena y Arcilla","SI",1,1
"eco_acti_142100","eco_acti_14",142100,"Extracción de Nitratos y Yodo","SI",1,1
"eco_acti_142200","eco_acti_14",142200,"Extracción de Sal","SI",1,1
"eco_acti_142300","eco_acti_14",142300,"Extracción de Litio y Cloruros, Excepto Sal","SI",1,1
"eco_acti_142900","eco_acti_14",142900,"Explotación de Otras Minas y Canteras N.C.P.","SI",1,1
"eco_acti_151110","eco_acti_151",151110,"Producción, Procesamiento de Carnes Rojas y Productos Cárnicos","SI",1,1
"eco_acti_151120","eco_acti_151",151120,"Conservación de Carnes Rojas (Frigoríficos)","SI",1,1
"eco_acti_151130","eco_acti_151",151130,"Producción, Procesamiento y Conservación de Carnes de Ave y Otras Carnes Distintas A Las Rojas","SI",1,1
"eco_acti_151140","eco_acti_151",151140,"Elaboración de Cecinas, Embutidos y Carnes En Conserva.","SI",1,1
"eco_acti_151210","eco_acti_151",151210,"Producción de Harina de Pescado","SI",1,1
"eco_acti_151221","eco_acti_151",151221,"Fabricación de Productos Enlatados de Pescado y Mariscos","SI",1,1
"eco_acti_151222","eco_acti_151",151222,"Elaboración de Congelados de Pescados y Mariscos","SI",1,1
"eco_acti_151223","eco_acti_151",151223,"Elaboración de Productos Ahumados, Salados, Deshidratados y Otros Procesos Similares","SI",1,1
"eco_acti_151230","eco_acti_151",151230,"Elaboración de Productos En Base A Vegetales Acuáticos","SI",1,1
"eco_acti_151300","eco_acti_151",151300,"Elaboración y Conservación de Frutas, Legumbres y Hortalizas","SI",1,1
"eco_acti_151410","eco_acti_151",151410,"Elaboración de Aceites y Grasas de Origen Vegetal","SI",1,1
"eco_acti_151420","eco_acti_151",151420,"Elaboración de Aceites y Grasas de Origen Animal, Excepto Las Mantequillas","SI",1,1
"eco_acti_151430","eco_acti_151",151430,"Elaboración de Aceites y Grasas de Origen Marino","SI",1,1
"eco_acti_152010","eco_acti_152",152010,"Elaboración de Leche, Mantequilla, Productos Lácteos y Derivados","SI",1,1
"eco_acti_152020","eco_acti_152",152020,"Elaboración de Quesos","SI",1,1
"eco_acti_152030","eco_acti_152",152030,"Fabricación de Postres A Base de Leche (Helados, Sorbetes y Otros Similares)","SI",1,1
"eco_acti_153110","eco_acti_153",153110,"Elaboración de Harinas de Trigo","SI",1,1
"eco_acti_153120","eco_acti_153",153120,"Actividades de Molienda de Arroz","SI",1,1
"eco_acti_153190","eco_acti_153",153190,"Elaboración de Otras Molineras y Alimentos A Base de Cereales","SI",1,1
"eco_acti_153210","eco_acti_153",153210,"Elaboración de Almidones y Productos Derivados Del Almidón","SI",1,1
"eco_acti_153220","eco_acti_153",153220,"Elaboración de Glucosa y Otros Azúcares Diferentes de La Remolacha","SI",1,1
"eco_acti_153300","eco_acti_153",153300,"Elaboración de Alimentos Preparados Para Animales","SI",1,1
"eco_acti_154110","eco_acti_154",154110,"Fabricación de Pan, Productos de Panadería y Pastelería","SI",1,1
"eco_acti_154120","eco_acti_154",154120,"Fabricación de Galletas","SI",1,1
"eco_acti_154200","eco_acti_154",154200,"Elaboración de Azúcar de Remolacha O Cana","SI",1,1
"eco_acti_154310","eco_acti_154",154310,"Elaboración de Cacao y Chocolates","SI",1,1
"eco_acti_154320","eco_acti_154",154320,"Fabricación de Productos de Confitería","SI",1,1
"eco_acti_154400","eco_acti_154",154400,"Elaboración de Macarrones, Fideos, Alcuzcuz y Productos Farinaceos Similares","SI",1,1
"eco_acti_154910","eco_acti_154",154910,"Elaboración de Te, Café, Infusiones","SI",1,1
"eco_acti_154920","eco_acti_154",154920,"Elaboración de Levaduras Naturales O Artificiales","SI",1,1
"eco_acti_154930","eco_acti_154",154930,"Elaboración de Vinagres, Mostazas, Mayonesas y Condimentos En General","SI",1,1
"eco_acti_154990","eco_acti_154",154990,"Elaboración de Otros Productos Alimenticios No Clasificados En Otra Parte","SI",1,1
"eco_acti_155110","eco_acti_155",155110,"Elaboración de Piscos (Industrias Pisqueras)","SI",1,1
"eco_acti_155120","eco_acti_155",155120,"Elaboración de Bebidas Alcohólicas y de Alcohol Etílico A Partir de Sustancias Fermentadas y Otros","SI",1,1
"eco_acti_155200","eco_acti_155",155200,"Elaboración de Vinos","SI",1,1
